Temps [s];Marche [s/j];Amplitude [°]
1116;3;284
1118;3.3;282
1120;1.1;283
1122;0.6;284
1124;3.2;284
1126;0.7;283
1128;0.9;286
1130;-0.3;287
1132;3.1;286
1134;0.7;287
1136;1;288
1138;-0.2;295
1140;4.5;289
1142;0.6;295
1144;0.2;293
1146;1.9;296
1148;3.8;292
1150;1.6;295
1152;2.1;294
1154;4.4;290
1156;2.1;290
1158;3.2;292
1160;3.1;290
1162;6.9;286
1164;2;280
1166;2.2;282
1168;1.7;280
1170;4.8;279
1172;0.2;280
1174;0.8;278
1176;2.2;272
1178;2.5;277
1180;0.5;278
1182;-0.4;283
1184;2.3;284
1186;0.8;281
1188;0.7;289
1190;0.3;281
1192;4.4;290
1194;1;277
1196;0.8;290
1198;0.1;293
1200;4.1;289
1202;1.4;289
1204;1.1;293
1206;1.5;291
1208;4.1;289
1210;1.9;285
1212;3.7;278
1214;5.7;281
1216;3.8;277
1218;2.2;279
1220;1.4;276
1222;5.6;273
1224;0.3;273
1226;0.4;271
1228;-0.2;277
1230;3;271
1232;-1;277
1234;-0.1;275
1236;1.5;278
1238;1.1;275
1240;0.8;269
1242;-0.3;282
1244;2.5;283
1246;1.4;279
1248;0.7;285
1250;-0.6;285
1252;3.4;288
1254;1.2;284
1256;1.7;287
1258;1.1;288
1260;4.6;283
1262;1.3;287
1264;1.1;286
1266;2.6;284
1268;5.8;283
1270;2.3;280
1272;2.1;281
1274;3.3;279
1276;0.5;277
1278;1.3;280
1280;0.7;281
1282;4;280
1284;0;281
1286;0.3;282
1288;0.3;284
1290;3.3;278
1292;0.1;284
1294;0.5;289
1296;2.3;289
1298;2.4;287
1300;0.5;288
1302;0.6;291
1304;2.4;293
1306;2;291
1308;1.1;279
1310;0.9;295
1312;3.6;293
1314;1.1;291
1316;1.7;292
1318;1.1;291
1320;5.1;291
1322;2.7;290
1324;2.3;288
1326;2.6;289
1328;4.4;272
1330;0.8;286
1332;0.7;288
1334;2.7;289
1336;1.4;285
1338;1.2;288
1340;1;291
1342;4;289
1344;0.4;291
1346;0.6;290
1348;1;295
1350;3.1;287
1352;0.1;295
1354;2;283
1356;2.9;293
1358;1.8;277
1360;1.2;294
1362;1.4;293
1364;4;289
1366;2.3;290
1368;2.4;290
1370;1.3;293
1372;4.4;288
1374;2.2;289
1376;3.7;285
1378;3;283
1380;5;279
1382;0.5;266
1384;0.4;284
1386;1.1;282
1388;3.1;277
1390;0.4;278
1392;1;284
1394;2.9;287
1396;-0.1;284
1398;1.5;289
